,dates,norte_grande,norte_chico,centro_sur,sur,austral
307,2009-03-05,23.1849994817749,20.514999541454,17.5749996071681,16.8749996228144,9.62999978475273
308,2009-03-13,22.8449994893745,18.5949995843694,17.9999995976686,16.9349996214733,9.23499979358166
309,2009-03-21,22.9199994876981,18.8599995784461,17.7699996028095,16.5549996299669,9.92499977815896
310,2009-03-29,22.8699994888157,19.249999569729,17.5199996083975,16.1499996390194,9.40499978978187
311,2009-04-06,22.9949994860217,19.3649995671585,17.4199996106327,15.4399996548891,8.8149998029694
312,2009-04-14,22.6999994926155,19.4949995642528,17.7649996029213,15.4649996543303,9.84999977983534
313,2009-04-22,22.834999489598,18.6349995834753,17.1249996172264,15.7949996469542,10.2549997707829
314,2009-04-30,22.399999499321,18.4349995879456,16.9649996208027,14.6899996716529,7.16999983973801
315,2009-05-08,21.0799995288253,17.6799996048212,15.5299996528774,14.6699996720999,7.96999982185662
316,2009-05-16,20.5399995408952,16.8649996230379,14.8399996683002,13.5749996965751,10.1499997731298
317,2009-05-24,21.4699995201081,18.0674995961599,15.3499996569008,13.2649997035041,7.23999983817339
318,2009-06-01,19.7399995587766,17.0399996191263,15.0974996625446,12.6999997161329,9.44999978877604
319,2009-06-09,19.4299995657057,15.5724996519275,14.8549996679649,13.0099997092038,7.53499983157963
320,2009-06-17,19.2699995692819,16.1049996400252,14.8599996678531,13.0199997089803,7.15999983996153
321,2009-06-25,18.1149995950982,16.1074996399693,14.1849996829405,11.7449997374788,8.43499981146306
322,2009-07-03,18.1499995943159,16.1249996395782,14.0099996868521,11.8049997361377,5.38499987963587
323,2009-07-11,17.7499996032566,15.7549996478483,13.7149996934459,11.4749997435138,8.82999980263412
324,2009-07-19,17.0499996189028,15.084999662824,13.5199996978045,12.079999729991,6.43499985616654
325,2009-07-27,17.4949996089563,15.1749996608123,13.1399997062981,10.9299997556955,7.86499982420355
326,2009-08-04,17.0249996194616,15.1599996611476,13.2099997047335,10.6149997627363,5.82999986968935
327,2009-08-12,16.7999996244907,14.5899996738881,12.8649997124448,10.8499997574836,5.05999988690019
328,2009-08-20,16.4749996317551,14.6899996716529,12.8399997130036,10.77499975916,8.45999981090426
329,2009-08-28,17.2949996134266,14.9349996661767,13.2449997039512,10.5599997639656,5.6549998736009
330,2009-09-05,17.3949996111915,14.6399996727705,12.9499997105449,10.8199997581542,8.1249998183921
331,2009-09-13,15.9499996434897,14.0349996862933,12.5874997186475,10.6049997629598,6.7449998492375
332,2009-09-21,15.7099996488541,14.3349996795878,12.76499971468,10.9649997549132,7.99999982118607
333,2009-09-29,15.3499996569008,13.9749996876344,12.6849997164682,10.7849997589365,8.08499981928617
334,2009-10-07,17.3999996110797,14.4299996774644,13.5599996969104,10.77499975916,6.41999985650182
335,2009-10-15,16.3999996334314,15.2699996586889,13.1549997059628,10.5249997647479,4.81499989237636
336,2009-10-23,16.0499996412545,14.7599996700883,13.3099997024983,10.8499997574836,7.02499984297901
337,2009-10-31,18.8899995777756,14.7999996691942,13.8249996909872,10.9949997542426,6.47999985516071
338,2009-11-08,18.1049995953217,15.3099996577948,13.8049996914342,10.8099997583777,6.65499985124916
