Transecto;Estaciones;Codigo;y;x;Profundidad;Temperatura;Conductividad;Sigma;Salinidad;Oxigeno_disuelto;Saturacion;Fluorescencia
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;57.25;9.9599;3.729419;26.3368;34.2036;2.4185;38.07;0.2407
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;57.5;9.959;3.729453;26.3374;34.2041;2.3789;37.447;0.2805
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;57.75;9.9583;3.729546;26.3387;34.2058;2.3445;36.905;0.2708
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;58;9.9577;3.729656;26.3401;34.2074;2.3173;36.478;0.2653
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;58.25;9.9569;3.729733;26.3411;34.2086;2.3036;36.262;0.2617
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;58.5;9.9558;3.729766;26.3409;34.2083;2.2979;36.171;0.2573
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;58.75;9.9547;3.729797;26.3413;34.2086;2.2968;36.153;0.3007
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;59;9.9538;3.729862;26.3436;34.2111;2.2936;36.103;0.2579
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;59.25;9.953;3.729941;26.3453;34.2132;2.289;36.028;0.2676
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;59.5;9.9521;3.73001;26.3455;34.2133;2.2837;35.946;0.254
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;59.75;9.9512;3.730096;26.3468;34.2147;2.2722;35.765;0.2361
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;60;9.9505;3.730208;26.3499;34.2184;2.261;35.587;0.2372
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;60.25;9.9497;3.730265;26.3502;34.2186;2.2452;35.339;0.2571
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;60.5;9.948;3.730238;26.3498;34.2182;2.2285;35.076;0.2568
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;60.75;9.9461;3.730171;26.3504;34.2185;2.2081;34.752;0.2476
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;61;9.9437;3.730077;26.3522;34.2201;2.1892;34.455;0.2456
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;61.25;9.9411;3.729929;26.3529;34.2206;2.1659;34.087;0.2589
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;61.5;9.9383;3.729752;26.3536;34.2208;2.1406;33.685;0.2413
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;61.75;9.9353;3.729589;26.3544;34.2214;2.1152;33.284;0.2366
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;62;9.932;3.729416;26.3553;34.2221;2.1004;33.05;0.2519
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;62.25;9.9288;3.729221;26.3552;34.221;2.0864;32.826;0.2445
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;62.5;9.9278;3.729271;26.3629;34.2298;2.073;32.614;0.2458
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;62.75;9.9238;3.729016;26.3566;34.2222;2.0587;32.389;0.2349
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;63;9.9203;3.728833;26.3637;34.2295;2.0552;32.33;0.263
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;63.25;9.9158;3.728623;26.3629;34.2289;2.0572;32.363;0.2718
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;63.5;9.9087;3.728145;26.3574;34.2215;2.0408;32.103;0.2082
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;63.75;9.8991;3.727529;26.3615;34.2252;2.0189;31.753;0.2465
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;64;9.8878;3.726703;26.3622;34.2238;1.9999;31.446;0.2473
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;64.25;9.8793;3.72604;26.3711;34.2306;1.9797;31.115;0.2261
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;64.5;9.8751;3.725955;26.3902;34.2533;1.9593;30.796;0.2254
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;64.75;9.869;3.725491;26.3735;34.2326;1.915;30.097;0.2236
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;65;9.865;3.725308;26.3844;34.2441;1.8773;29.498;0.2203
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;65.25;9.8643;3.72544;26.3872;34.2472;1.8661;29.322;0.2156
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;65.5;9.8655;3.725766;26.3901;34.2511;1.8465;29.016;0.2181
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;65.75;9.8685;3.726184;26.3881;34.2496;1.6915;26.582;0.2297
